Band,Min,Max,Mean,Std
B2,0.033250000327825546,0.4426000118255615,0.0718141719698906,0.018378686159849167
B3,0.05609999969601631,0.45840001106262207,0.10185880213975906,0.02220316044986248
B4,0.045499999076128006,0.45579999685287476,0.10245928168296814,0.03325551003217697
B8,0.08640000224113464,0.5892000198364258,0.26813533902168274,0.03675604239106178
NDVI,-0.12017165869474411,0.7247259616851807,0.4496961236000061,0.14812134206295013
land_cover,1.0,9.0,3.134430170059204,1.875421404838562
